store_id,week,week_date,treatment,post_treatment,sales
STORE_001,1,2023-01-01,0,0,79087.9756111618
STORE_001,2,2023-01-08,0,0,81836.1626947937
STORE_001,3,2023-01-15,0,0,96225.75128707087
STORE_001,4,2023-01-22,0,0,92161.16382454972
STORE_001,5,2023-01-29,0,0,117060.7597032084
STORE_001,6,2023-02-05,0,0,111639.92017344537
STORE_001,7,2023-02-12,0,0,102641.11549299471
STORE_001,8,2023-02-19,0,0,79947.91811998458
STORE_001,9,2023-02-26,0,0,82820.61208250085
STORE_001,10,2023-03-05,0,0,77071.77401180984
STORE_001,11,2023-03-12,0,0,94744.06605172309
STORE_001,12,2023-03-19,0,0,53675.400833550964
STORE_001,13,2023-03-26,0,0,85089.90816539677
STORE_001,14,2023-04-02,0,0,87386.20958516558
STORE_001,15,2023-04-09,0,0,70830.31494062569
STORE_001,16,2023-04-16,0,0,103066.27069733135
STORE_001,17,2023-04-23,0,0,76510.02536733488
STORE_001,18,2023-04-30,0,0,96219.53647580788
STORE_001,19,2023-05-07,0,0,131453.50016330573
STORE_001,20,2023-05-14,0,0,70495.92905039525
STORE_001,21,2023-05-21,0,0,91111.726266661
STORE_001,22,2023-05-28,0,0,87707.68980616338
STORE_001,23,2023-06-04,0,0,85191.0006992348
STORE_001,24,2023-06-11,0,0,104582.56931983678
STORE_001,25,2023-06-18,0,0,109724.92042316083
STORE_001,26,2023-06-25,0,0,105258.44880126543
STORE_001,27,2023-07-02,0,0,84309.94643803746
STORE_001,28,2023-07-09,0,0,129413.99786882337
STORE_001,29,2023-07-16,0,0,69800.80297510889
STORE_001,30,2023-07-23,0,0,80513.24648767538
STORE_001,31,2023-07-30,0,0,97935.68317803145
STORE_001,32,2023-08-06,0,0,97022.71768564168
STORE_001,33,2023-08-13,0,0,103000.21505222272
STORE_001,34,2023-08-20,0,0,119013.90473109749
STORE_001,35,2023-08-27,0,0,94712.75535928716
STORE_001,36,2023-09-03,0,0,98333.06381345425
STORE_001,37,2023-09-10,0,0,88278.14323923076
STORE_001,38,2023-09-17,0,0,105733.8227735767
STORE_001,39,2023-09-24,0,0,92745.47870437858
STORE_001,40,2023-10-01,0,0,92964.96691566607
STORE_001,41,2023-10-08,0,0,105856.99165889544
STORE_001,42,2023-10-15,0,0,113350.03767826862
STORE_001,43,2023-10-22,0,0,65781.25989989932
STORE_001,44,2023-10-29,0,0,103937.23816394506
STORE_001,45,2023-11-05,0,0,94837.43037312388
STORE_001,46,2023-11-12,0,0,113170.97622128337
STORE_001,47,2023-11-19,0,0,95603.40175479867
STORE_001,48,2023-11-26,0,0,119006.95144023877
STORE_001,49,2023-12-03,0,0,89691.16778187788
STORE_001,50,2023-12-10,0,0,66587.8700142137
STORE_001,51,2023-12-17,0,0,116133.13666711251
STORE_001,52,2023-12-24,0,0,87833.21634278238
STORE_001,53,2023-12-31,0,1,76909.65063350432
STORE_001,54,2024-01-07,0,1,101295.1126515125
STORE_001,55,2024-01-14,0,1,97665.83035090692
STORE_001,56,2024-01-21,0,1,114086.98413168272
STORE_001,57,2024-01-28,0,1,115425.68787686055
STORE_001,58,2024-02-04,0,1,103512.6510049578
STORE_001,59,2024-02-11,0,1,88722.31210799704
STORE_001,60,2024-02-18,0,1,106965.1555041006
STORE_001,61,2024-02-25,0,1,105350.67018793715
STORE_001,62,2024-03-03,0,1,111850.82188557356
STORE_001,63,2024-03-10,0,1,89752.92937673487
STORE_001,64,2024-03-17,0,1,97343.61800292498
STORE_001,65,2024-03-24,0,1,111750.12620063587
STORE_001,66,2024-03-31,0,1,123544.87500213027
STORE_001,67,2024-04-07,0,1,119444.74358577025
STORE_001,68,2024-04-14,0,1,105872.42087112779
STORE_001,69,2024-04-21,0,1,97177.28765868249
STORE_001,70,2024-04-28,0,1,111466.14428347135
STORE_001,71,2024-05-05,0,1,88110.19802849954
STORE_001,72,2024-05-12,0,1,92673.79571660541
STORE_001,73,2024-05-19,0,1,129854.2704291839
STORE_001,74,2024-05-26,0,1,112537.65503868593
STORE_001,75,2024-06-02,0,1,100851.5005244795
STORE_001,76,2024-06-09,0,1,119924.75586441164
STORE_001,77,2024-06-16,0,1,127562.4090922589
STORE_001,78,2024-06-23,0,1,100035.6695116072
STORE_001,79,2024-06-30,0,1,100559.24187223421
STORE_001,80,2024-07-07,0,1,98782.96670829479
STORE_001,81,2024-07-14,0,1,123587.70310884401
STORE_001,82,2024-07-21,0,1,124049.07967556412
STORE_001,83,2024-07-28,0,1,131065.41517408982
STORE_001,84,2024-08-04,0,1,125231.44468648745
STORE_001,85,2024-08-11,0,1,82345.10951644038
STORE_001,86,2024-08-18,0,1,113917.06729336455
STORE_001,87,2024-08-25,0,1,92182.39541555318
STORE_001,88,2024-09-01,0,1,101396.82698019658
STORE_001,89,2024-09-08,0,1,112936.06603113255
STORE_001,90,2024-09-15,0,1,124224.46933360453
STORE_001,91,2024-09-22,0,1,95873.08612244931
STORE_001,92,2024-09-29,0,1,72249.27220251897
STORE_001,93,2024-10-06,0,1,114216.2677169154
STORE_001,94,2024-10-13,0,1,155683.30937999178
STORE_001,95,2024-10-20,0,1,108351.9408758518
STORE_001,96,2024-10-27,0,1,112815.26461544665
STORE_001,97,2024-11-03,0,1,142323.39646490075
STORE_001,98,2024-11-10,0,1,122546.09402274808
STORE_001,99,2024-11-17,0,1,116526.06465006364
STORE_001,100,2024-11-24,0,1,120635.0319411301
STORE_001,101,2024-12-01,0,1,117667.48726185346
STORE_001,102,2024-12-08,0,1,94252.53426917581
STORE_001,103,2024-12-15,0,1,91036.23669524866
STORE_001,104,2024-12-22,0,1,146583.93109146997
STORE_002,1,2023-01-01,1,0,94262.67442603741
STORE_002,2,2023-01-08,1,0,93274.92281503888
STORE_002,3,2023-01-15,1,0,90812.25492488458
STORE_002,4,2023-01-22,1,0,103026.23761683858
STORE_002,5,2023-01-29,1,0,127565.63137756976
STORE_002,6,2023-02-05,1,0,99822.62418960597
STORE_002,7,2023-02-12,1,0,84534.59642909681
STORE_002,8,2023-02-19,1,0,91019.06293462629
STORE_002,9,2023-02-26,1,0,107989.4984550498
STORE_002,10,2023-03-05,1,0,85059.14718456952
STORE_002,11,2023-03-12,1,0,105309.15352997623
STORE_002,12,2023-03-19,1,0,60976.6250357805
STORE_002,13,2023-03-26,1,0,90473.11539106203
STORE_002,14,2023-04-02,1,0,102714.99789945247
STORE_002,15,2023-04-09,1,0,111952.74812591543
STORE_002,16,2023-04-16,1,0,82638.24352945088
STORE_002,17,2023-04-23,1,0,73098.26312150933
STORE_002,18,2023-04-30,1,0,90840.82294349173
STORE_002,19,2023-05-07,1,0,78718.35392642171
STORE_002,20,2023-05-14,1,0,92752.96880444298
STORE_002,21,2023-05-21,1,0,94947.35730332877
STORE_002,22,2023-05-28,1,0,76371.27017072425
STORE_002,23,2023-06-04,1,0,106888.7561845907
STORE_002,24,2023-06-11,1,0,93295.62800160664
STORE_002,25,2023-06-18,1,0,111231.33127553716
STORE_002,26,2023-06-25,1,0,69352.46114848171
STORE_002,27,2023-07-02,1,0,81401.77698557233
STORE_002,28,2023-07-09,1,0,103686.37383309008
STORE_002,29,2023-07-16,1,0,84844.25311689773
STORE_002,30,2023-07-23,1,0,94186.9145226511
STORE_002,31,2023-07-30,1,0,96751.7457760904
STORE_002,32,2023-08-06,1,0,99213.76607078969
STORE_002,33,2023-08-13,1,0,87217.86935507404
STORE_002,34,2023-08-20,1,0,99435.19988044465
STORE_002,35,2023-08-27,1,0,85993.36879073974
STORE_002,36,2023-09-03,1,0,107474.39113595839
STORE_002,37,2023-09-10,1,0,96091.44040544723
STORE_002,38,2023-09-17,1,0,100227.07822732687
STORE_002,39,2023-09-24,1,0,135948.28999091522
STORE_002,40,2023-10-01,1,0,81973.25609289232
STORE_002,41,2023-10-08,1,0,118981.71697824412
STORE_002,42,2023-10-15,1,0,59295.87128428236
STORE_002,43,2023-10-22,1,0,68012.9282618308
STORE_002,44,2023-10-29,1,0,80573.49539738888
STORE_002,45,2023-11-05,1,0,81655.25393149357
STORE_002,46,2023-11-12,1,0,102383.42732278044
STORE_002,47,2023-11-19,1,0,103850.99336652015
STORE_002,48,2023-11-26,1,0,95889.71413665493
STORE_002,49,2023-12-03,1,0,97632.02455688514
STORE_002,50,2023-12-10,1,0,107975.39632695209
STORE_002,51,2023-12-17,1,0,112759.44463785693
STORE_002,52,2023-12-24,1,0,80430.23086518359
STORE_002,53,2023-12-31,1,1,97030.25273257762
STORE_002,54,2024-01-07,1,1,101708.84882349211
STORE_002,55,2024-01-14,1,1,110459.56352140447
STORE_002,56,2024-01-21,1,1,91191.97885778417
STORE_002,57,2024-01-28,1,1,101946.77103536425
STORE_002,58,2024-02-04,1,1,103978.49130543253
STORE_002,59,2024-02-11,1,1,92738.88169485878
STORE_002,60,2024-02-18,1,1,92531.82765105726
STORE_002,61,2024-02-25,1,1,105606.14512605053
STORE_002,62,2024-03-03,1,1,102211.0836859119
STORE_002,63,2024-03-10,1,1,112274.31168768115
STORE_002,64,2024-03-17,1,1,88090.79684567095
STORE_002,65,2024-03-24,1,1,99292.10243615901
STORE_002,66,2024-03-31,1,1,101381.14487529057
STORE_002,67,2024-04-07,1,1,118017.2136939744
STORE_002,68,2024-04-14,1,1,90500.95301726995
STORE_002,69,2024-04-21,1,1,109265.83370816406
STORE_002,70,2024-04-28,1,1,109746.78457842485
STORE_002,71,2024-05-05,1,1,132084.7775001829
STORE_002,72,2024-05-12,1,1,90083.51414182944
STORE_002,73,2024-05-19,1,1,95821.8430463749
STORE_002,74,2024-05-26,1,1,91517.27224233298
STORE_002,75,2024-06-02,1,1,79959.4716953777
STORE_002,76,2024-06-09,1,1,135156.61983293245
STORE_002,77,2024-06-16,1,1,87120.96520430094
STORE_002,78,2024-06-23,1,1,94115.69427464939
STORE_002,79,2024-06-30,1,1,128642.45844152638
STORE_002,80,2024-07-07,1,1,79325.88817276934
STORE_002,81,2024-07-14,1,1,120051.86593570346
STORE_002,82,2024-07-21,1,1,85117.44183849257
STORE_002,83,2024-07-28,1,1,128436.58068318594
STORE_002,84,2024-08-04,1,1,73113.89425465841
